ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
528,The Love Guru,The Love Guru,6.258666,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup.","sport, ice hockey, guru, comedy, bollywood, india, spiritualist, broken heart, self-help, stanley cup, chastity, ashram, expert",Comedy,Missing,en,English,"Paramount Pictures, Goldcrest Pictures, Internationale Filmproduktion","United States of America, United Kingdom, Germany",Marco Schnabel,6/20/08,87,Released,His Karma is Huge,http://www.lovegurumovie.com/,tt0811138,62000000,41819064,2008
529,Duplicity,Duplicity,9.097953,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.,spy,Romance,Missing,en,"English, Deutsch, Pусский, Español","Universal Pictures, Laura Bickford Productions, Relativity Media, Medienproduktion Poseidon Filmgesellschaft","Germany, United States of America",Tony Gilroy,3/19/09,125,Released,Outwit. Outspy. Outsmart. Outplay. Then get out.,http://www.universalstudiosentertainment.com/duplicity/,tt1135487,78146652,60000000,2009
530,Just My Luck,Just My Luck,6.053567,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.","jinx, bad luck, kiss, romantic comedy, alcohol abuse, celebration, envy, luck, mysterious stranger, masquerade",Comedy,Missing,en,English,"Regency Enterprises, Cheyenne Enterprises, New Regency Pictures",United States of America,Donald Petrie,5/12/06,103,Released,Everything changed in the wink of an eye.,Missing,tt0397078,28000000,38159905,2006
531,The Robe,The Robe,3.826281,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.","crucifixion, ancient rome",Drama,Demetrius Filmreihe,en,English,Twentieth Century Fox Film Corporation,United States of America,Henry Koster,9/16/53,135,Released,The first motion picture in CinemaScope--the modern miracle you see without glasses!,Missing,tt0046247,4100000,36000000,1953
532,Supersonic,Supersonic,6.316596,"From award-winning director Mat Whitecross and featuring extensive unseen archive footage, Supersonic charts the meteoric rise of Oasis from the council estates of Manchester to some of the biggest concerts of all time in just three short years.  This palpable, raw and moving film shines a light on one of the most genre and generation-defining British bands that has ever existed, and features candid new interviews with Noel and Liam Gallagher, their mother, and members of the band and road crew.","oasis, family, band",Documentary,Missing,en,English,"A24, On The Corner Films, Nemperor, Lorton Entertainment, Mint Pictures",United Kingdom,Mat Whitecross,10/2/16,117,Released,Missing,http://supersonic-movie.com/,tt5213534,0,226286,2016
533,SpaceCamp,SpaceCamp,6.41742,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.","space, astronaut, space shuttle, trapped in space, space camp",Family,Missing,en,English,ABC Motion Pictures,United States of America,Harry Winer,6/6/86,107,Released,The stars belong to a new generation.,Missing,tt0091993,18000000,9697739,1986
534,Predators,Predators,9.034929,"A mercenary reluctantly leads a motley crew of warriors who soon come to realize they've been captured and deposited on an alien planet by an unknown nemesis. With the exception of a peculiar physician, they are all cold-blooded killers, convicts, death squad members... hunters who have now become the hunted.","hunter, predator, yakuza, hunting human beings, alien life-form, sequel, alien, alien planet, jungle, soldier, warrior",Action,Predator Collection,en,"English, Español, Pусский","Twentieth Century Fox Film Corporation, Davis Entertainment, Dune Entertainment III, Troublemaker Studios",United States of America,Nimr√≥d Antal,7/3/10,107,Released,Fear is Reborn,Missing,tt1424381,40000000,126248813,2010
535,December Boys,December Boys,4.661689,"For many years, four teenage orphans at an Australian outback convent have watched their younger comrades find new parents, and realize that they may never be adopted. The Reverend Mother sends the four boys away on a seaside vacation, where they meet Teresa and Fearless, a couple who would make perfect parents. The youths compete with one another to be the one Teresa and Fearless decide to adopt.","sea, beach, adoption, male friendship, hope, friendship, orphanage, rivalry, teenage crush, best friend",Drama,Missing,en,English,"Village Roadshow Pictures, Australian Film Finance Corporation","Australia, United Kingdom, United States of America",Rod Hardy,9/20/07,105,Released,After that summer nothing would be the same.,http://wip.warnerbros.com/decemberboys/,tt0465436,4000000,46474,2007
536,Miracle at St. Anna,Miracle at St. Anna,11.221186,"Miracle at St. Anna chronicles the story of four American soldiers who are members of the all-black 92nd ""Buffalo Soldier"" Division stationed in Tuscany, Italy during World War II.","black people, world war ii, toscana, village, soldier, partisan",Drama,Missing,en,"Deutsch, Italiano, English","Rai Cinema, 40 Acres & A Mule Filmworks, Touchstone Pictures, On My Own","Italy, United States of America",Spike Lee,9/15/08,160,Released,Missing,Missing,tt1046997,45000000,9323833,2008
537,Martin Lawrence Live: Runteldat,Martin Lawrence Live: Runteldat,0.527297,"The controversial bad-boy of comedy delivers a piercing look at his life, lifting the metaphorical smokescreen that he feels has clouded the public view, commenting on everything from the dangers of smoking to the trials of relationships, and unleashing a nonstop litany of raucous anecdotes, stinging social commentary and very personal reflections about life.","daily life, scandal, growing up, divorce",Comedy,Missing,en,English,,United States of America,"Martin Lawrence, David Raynr",8/1/02,113,Released,Missing,Missing,tt0327036,3000000,19184015,2002
538,The Rock,The Rock,13.249824,"A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops ‚Äì or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area.","san francisco, fbi, gas attack, alcatraz, hostage situation, fbi agent",Action,Missing,en,English,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,Michael Bay,6/6/96,136,Released,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.,Missing,tt0117500,75000000,335062621,1996
539,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,14.788987,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.","saving the world, venice, holy grail, library, riddle, father son relationship, whip, treasure, nazis, entrapment, crusader, treasure hunt, escape, panzer, order of the templars, archaeologist, indiana jones, archeology ",Adventure,Indiana Jones Collection,en,"Deutsch, ελληνικά, English","Lucasfilm, Paramount Pictures",United States of America,Steven Spielberg,5/24/89,127,Released,"The man with the hat is back. And this time, he's bringing his Dad.",http://www.indianajones.com/crusade,tt0097576,48000000,474171806,1989
540,The Greatest Movie Ever Sold,The Greatest Movie Ever Sold,4.39817,"A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.","comedian, comedy, duringcreditsstinger",Comedy,Missing,en,English,Snoot Entertainment,United States of America,Morgan Spurlock,4/22/11,87,Released,"He's not selling out, he's buying in.",http://www.thegreatestmovieeversold.com/,tt1743720,0,621951,2011
541,Pan,Pan,11.30428,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.","flying, magic, fairy tale, peter pan, mermaid, pirate, fantasy world",Adventure,Missing,en,English,"Warner Bros., Moving Picture Company (MPC), Berlanti Productions, RatPac-Dune Entertainment",United States of America,Joe Wright,9/24/15,111,Released,Every legend has a beginning.,Missing,tt3332064,150000000,128388320,2015
542,Dazed and Confused,Dazed and Confused,6.8652,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.","1970s, texas, high school, comedy, coming of age, summer, teenager, period drama, great soundtrack",Comedy,Missing,en,English,"Gramercy Pictures, Alphaville Productions, The Criterion Collection",United States of America,Richard Linklater,9/24/93,102,Released,See it with a bud.,Missing,tt0106677,6900000,7993039,1993
543,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,11.023042,"Unfinished business with coed Julie James brings the murderer to the Bahamas to terrorize her and her friends, Karla, Tyrell and Will, during a vacation. Can Ray Bronson who survived a bloody attack alongside Julie two summers ago, get to the island in time to save everyone?","competition, island, radio, bahamas, college, knife, fisherman, vacation, revenge, murder, marijuana, resort, blood, slasher, storm, hook, killer",Horror,I Know What You Did Last Summer Collection,en,English,"Columbia Pictures, Mandalay Entertainment, Summer Knowledge LLC",United States of America,Danny Cannon,11/13/98,100,Released,Someone is dying for a second chance.,Missing,tt0130018,65000000,40002112,1998
544,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,29.423537,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","elves, orcs, middle-earth (tolkien), hobbit, based on novel, explosive, cave, fort, army, mission, attack, guide, wizard, ring, sword and sorcery",Adventure,The Lord of the Rings Collection,en,English,"WingNut Films, New Line Cinema, The Saul Zaentz Company","New Zealand, United States of America",Peter Jackson,12/18/02,179,Released,A New Power Is Rising.,http://www.lordoftherings.net/,tt0167261,79000000,926287400,2002
545,Sweet Charity,Sweet Charity,0.537378,"Taxi dancer Charity continues to have Faith in the human race despite apparently endless disappointments at its hands, and Hope that she will finally meet the nice young man to romance her away from her sleazy life. Maybe, just maybe, handsome Oscar will be the one to do it.","broken engagement, charity, celebrity, based on play or musical, tragic love, dancehall girl, based on movie",Comedy,Missing,en,English,Universal Pictures,United States of America,Bob Fosse,1/1/69,149,Released,Love is what it's all about!,Missing,tt0065054,8000000,20000000,1969
546,Crossover,Crossover,0.906143,"The clock strikes midnight, money changes hands, the crowd is on their feet, and the court is alive with fast-paced razzle-dazzle basketball. These players don't play for a school or a pro team. They play for the street and it's underground...way underground.","street gang, black people, sport, high school sports",Action,Missing,en,English,"360 Pictures, Dribble Productions, Platinum Equity",United States of America,Preston A. Whitmore II,9/1/06,95,Released,Missing,http://www.sonypictures.com/movies/crossover/,tt0473024,5800000,7000000,2006
547,About Schmidt,About Schmidt,11.066473,"66-year-old Warren Schmidt is a retired insurance salesman and has no particular plans other than to drive around in the motor home his wife insisted they buy. He's not altogether bitter, but not happy either, as everything his wife does annoys him, and he disapproves of the man his daughter is about to marry. When his wife suddenly dies, he sets out to postpone the imminent marriage of his daughter to a man he doesn't like, while coping with discoveries about his late wife and himself in the process.","wife husband relationship, channel surfing, mullet, spiritual journey, life changing, pioneer village, family gathering",Drama,Missing,en,English,"New Line Cinema, Avery Pix",United States of America,Alexander Payne,12/13/02,125,Released,Schmidt Happens,Missing,tt0257360,30000000,105834556,2002
548,Tales from the Darkside: The Movie,Tales from the Darkside: The Movie,5.732016,"The first segment features an animated mummy stalking selected student victims; the second tale tells the story of a ""cat from hell"" who cannot be killed and leaves a trail of victims behind it; the third story is about a man who witnesses a bizarre killing and promises never to tell what he saw and the ""in-between"" bit is the story of a woman preparing to cook her newspaper boy for supper.","witch, monster, heart attack, mummy, anthology, dark comedy, based on tv series, decapitation, darkside, black cat, severed hand, gargoyle, horror anthology",Thriller,Missing,en,English,"Paramount Pictures, Laurel Productions, Darkside Movie",United States of America,John Harrison,5/3/90,93,Released,From the depths of four twisted minds.,Missing,tt0100740,3500000,16324573,1990
549,Ouija: Origin of Evil,Ouija: Origin of Evil,10.182974,"In 1965 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their s√©ance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.","supernatural, prequel, possession, ouija board, spirit, ghost, aftercreditsstinger, 1960s",Horror,Ouija Collection,en,English,"Universal Pictures, Platinum Dunes, Hasbro, Blumhouse Productions, Allspark Pictures",United States of America,Mike Flanagan,10/20/16,99,Released,"When you talk to the other side, you never know who will be listening.",http://ouijamovie.com/,tt4361050,9000000,81705746,2016
550,49 Up,49 Up,0.769595,"49 Up is the seventh film in a series of landmark documentaries that began 42 years ago when UK-based Granada's World in Action team, inspired by the Jesuit maxim ""Give me the child until he is seven and I will give you the man,"" interviewed a diverse group of seven-year-old children from all over England, asking them about their lives and their dreams for the future. Michael Apted, a researcher for the original film, has returned to interview the ""children"" every seven years since, at ages 14, 21, 28, 35, 42 and now again at age 49.In this latest chapter, more life-changing decisions are revealed, more shocking announcements made and more of the original group take part than ever before, speaking out on a variety of subjects including love, marriage, career, class and prejudice.","homelessness, charity, politics",Documentary,The Up Series,en,English,,United Kingdom,Michael Apted,9/15/05,180,Released,Missing,http://www.pbs.org/pov/fortynineup/,tt0473434,0,238073,2005
551,Phone Booth,Phone Booth,9.142772,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.","terrorist, phone booth, psychopath",Thriller,Missing,en,"English, Kiswahili",Fox 2000 Pictures,United States of America,Joel Schumacher,9/9/02,81,Released,No options. No lies. No fear. No deals. Just keep talking.,Missing,tt0183649,13000000,97837138,2002
552,Chappie,Chappie,30.206365,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings‚Äîsome good, some bad‚Äîand he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.","artificial intelligence, android, robot, near future, robot cop",Crime,Missing,en,English,"Columbia Pictures, Media Rights Capital, Sony Pictures Entertainment (SPE), Alpha Core, Genre Films, Simon Kinberg Productions, LStar Capital, Ollin Studio","Mexico, South Africa, United States of America",Neill Blomkamp,3/4/15,120,Released,I am consciousness. I am alive. I am Chappie.,http://www.chappie-movie.com,tt1823672,49000000,104399548,2015
553,Gothika,Gothika,10.939066,"After a car crash, a criminal psychologist (Halle Berry) comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.","amnesia, mental institution, patient, trust, false accusations, medication, gothic, mental illness",Horror,Missing,en,English,"Columbia Pictures Corporation, Dark Castle Entertainment, Warner Bros.",United States of America,Mathieu Kassovitz,11/21/03,98,Released,Because someone is dead doesn't mean they're gone.,http://gothikamovie.warnerbros.com/,tt0348836,40000000,141591324,2003
554,Mad Dog and Glory,Mad Dog and Glory,4.769347,"Wayne Dobie is a shy cop whose low-key demeanor has earned him the affectionate nickname ""Mad Dog."" After Mad Dog saves the life of Frank Milo, a crime boss and aspiring stand-up comedian, he's offered the company of an attractive young waitress named Glory for a week. At first both are uneasy about the arrangement, but they eventually fall in love. However, the situation becomes complicated when Milo demands Glory back.","fistfight, police, life-saver, cop, singing, city",Comedy,Missing,en,English,"Universal Pictures, Mad Dog Productions",United States of America,John McNaughton,3/5/93,96,Released,A cop who'd rather be an artist. A mobster who'd rather be a comic. And a woman who'd rather be anywhere but between them.,Missing,tt0107473,0,11081586,1993
555,Metropolis,Metropolis,9.298092,"Duke Red has overseen the construction of a massive Ziggurat to extend his power across the whole planet. Tima, a robot-girl built in the image of his deceased daughter, is at the core of these plans. However, after escaping the Duke's clutches in a laboratory fire, she meets and befriends Kenichi, a boy who's traveled to Metropolis with his detective uncle in search of a scientist wanted for organ trafficking. Will her relationship with Kenichi, and the realization of the truth of her existence, change her destiny?","jealousy, metropolis, future, son, control, based on comic, robot, synthetic human",Animation,Missing,ja,"Pусский, English, 日本語, Français, Deutsch, Italiano, Español","Bandai Visual Company, Destination Films, Toho Company, DENTSU Music And Entertainment, Tezuka Production Company Ltd., Madhouse, King Record Co., Kadokawa Shoten Publishing Co., Sony Pictures Television, Studio 4°C, Imagica Corp., Metropolis Project",Japan,Rintaro,5/26/01,108,Released,Welcome to Metropolis,Missing,tt0293416,14500000,95789342,2001
556,Scarface,Scarface,4.854436,"Big Louis Costillo, last of the old-style gang leaders is slain, and his former bodyguard Tony Camonte is taken into custody. Since Costillo's body has never been found, the police have to release him, though they strongly suspect Johnny Lovo paid Tony to remove Big Louis. Tony begins taking over the rackets in town with violent enforcement, and he becomes a threat to Johnny and the other bosses unless they work for Tony. Meanwhile, Tony's sister wants to be more independent, but finds it difficult to escape from her brother's overprotective grasp. The dissatisfaction of the other bosses and the relentless pursuit of the police push Tony towards a major confrontation.","chicago, alcohol, prohibition, brother sister relationship, gang war, power, ambition, beer, police, murder, mobster, gangster, film noir",Action,Missing,en,"English, Italiano","United Artists, The Caddo Company",United States of America,"Howard Hawks, Richard Rosson",4/9/32,90,Released,The rise and fall of a power hungry mobster.,Missing,tt0023427,0,600000,1932
557,Tracks,Tracks,0.239993,"Accompanied only by her faithful dog and four camels, an Australian satisfies her craving for solitude by embarking on a solo trip across the desert from Alice Springs to the Indian Ocean.","biography, australia, based on true story, desert, outback, journey, inspiring, camels",Adventure,Missing,en,English,See-Saw Films,Australia,John Curran,3/6/14,112,Released,Leave everything behind.,http://tracks-movie.com/,tt2167266,0,4878242,2014
558,Baggage Claim,Baggage Claim,5.590678,"Pledging to keep herself from being the oldest and the only woman in her entire family never to wed, Montana embarks on a thirty-day, thirty-thousand-mile expedition to charm a potential suitor into becoming her fianc√©.",Missing,Comedy,Missing,en,English,Sneak Preview Productions,United States of America,David E. Talbert,9/27/13,96,Released,She's done flying solo.,Missing,tt1171222,8500000,22456509,2013
559,Eddie the Eagle,Eddie the Eagle,7.528276,"Inspired by true events, Eddie the Eagle is a feel-good story about Michael ""Eddie"" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.","underdog, olympic games, ski jump, biography, sport, based on true story, britain, skiing, feel good",Comedy,Missing,en,"English, Deutsch, Norsk","Studio Babelsberg, Twentieth Century Fox Film Corporation, Marv Films, Saville Productions","Germany, United Kingdom, United States of America",Dexter Fletcher,2/26/16,106,Released,"Win or lose, always aim high",http://www.foxmovies.com/movies/eddie-the-eagle,tt1083452,23000000,46152411,2016
560,The Black Stallion,The Black Stallion,10.246132,"While traveling with his father, young Alec becomes fascinated by a mysterious Arabian stallion that is brought on board and stabled in the ship he is sailing on. When it tragically sinks both he and the horse survive only to be stranded on a deserted island. He befriends it, so when finally rescued both return to his home where they soon meet Henry Dailey, a once successful trainer. Together they begin training the horse to race against the fastest ones in the world.","poker, horse, barn, training, sport, rescue, survival, deserted island, stallion",Adventure,The Black Stallion Collection,en,"العربية, English, Italiano",United Artists,United States of America,Carroll Ballard,10/17/79,118,Released,"From the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…",Missing,tt0078872,2700000,37799643,1979
561,Look,Look,1.282833,"Interconnected stories are told entirely through images captured on security cameras in storage rooms, police cars, parking lots, shopping malls and other locations. Store manager Tony has affairs with the women who work under him, high schooler Sherri schemes to seduce teacher Berry, a pedophile stalks his next victim at a mall food court and two thieves go on a killing spree that links to other tales witnessed by the unseen electronic eyes.","independent film, surveillance camera",Drama,Missing,en,English,"Capture Film Internatrional, Meteor Film Productions",United States of America,Adam Rifkin,10/5/07,98,Released,Who is watching?,http://www.cinemacafe.net/official/look/,tt0810951,0,16136,2007
562,Short Term 12,Short Term 12,12.34835,"Grace, a compassionate young supervisor at a foster care facility, works with her boyfriend and colleague, Mason, to help at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.","child abuse, suicide attempt, social worker, based on short film, pregnancy, violence, parole, father daughter relationship, incest, foster child, troubled teen, foster care, group home",Drama,Missing,en,English,"Traction Media, Animal Kingdom",United States of America,Destin Cretton,8/23/13,96,Released,Support them. Take care of them. But don't become their friend.,http://www.shortterm12.com/,tt2370248,0,1600000,2013
563,50 First Dates,50 First Dates,11.134888,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again‚Ä¶and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.","deja vu, amnesia, hawaii, ladykiller, romantic comedy",Comedy,Missing,en,English,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)",United States of America,Peter Segal,2/13/04,99,Released,Imagine having to win over the girl of your dreams... every friggin' day.,Missing,tt0343660,75000000,196482882,2004
564,Burnt,Burnt,8.066726,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.","london england, cook, restaurant, diva, career, kitchen, redemption, drug, drug addict, chef, come back",Drama,Missing,en,"Français, English","Double Feature Films, PeaPie Films, 3 Arts Entertainment",United States of America,John Wells,10/2/15,100,Released,Never underestimate a man with everything to lose.,http://burntmovie.com/,tt2503944,20000000,36606743,2015
565,El pico 2,El pico 2,0.699668,"Paco, son of the commander of the Guardia Civil Evaristo Torrecuadrada, has been involved in Bilbao in the murder of a drug dealer couple. His fathers' efforts in suppressing evidence have nothing to do when the crime appears in the press. Paco is arrested and goes to prisson, where he return to do drugs.","prison, rape, heroin, sequel, dirty cop, drug, heroin addict, cine quinqui",Drama,El pico - Colección,es,Español,Ópalo Films,Spain,Eloy de la Iglesia,11/9/84,120,Released,Missing,Missing,tt0087913,0,930349,1984
566,Bunny and the Bull,Bunny and the Bull,3.939557,"A young shut-in takes an imaginary road trip inside his apartment, based on mementos and memories of a European trek from years before.","independent film, agoraphobia",Comedy,Missing,en,"English, Español",,United Kingdom,Paul King,11/27/09,101,Released,Missing,Missing,tt1251725,0,81010,2009
567,The Alamo,The Alamo,4.73816,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,"texas, assault, alamo, mexican, mexican army",Action,Missing,en,"Český, English, Español","United Artists, Batjac Productions, The Alamo Company",United States of America,John Wayne,10/23/60,167,Released,The Mission That Became a Fortress! The Fortress That Became a Shrine!,Missing,tt0053580,12000000,7900000,1960
568,One for the Money,One for the Money,6.322435,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder ‚Äì the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.","bounty hunter, based on novel, romance, framed, bail jumper, woman director",Action,Missing,en,English,"Lakeshore Entertainment, Sidney Kimmel Entertainment",United States of America,Julie Anne Robinson,1/26/12,91,Released,She's looking for a few not-so-good men,http://www.oneforthemoneyfilm.com/index2.html,tt1598828,40000000,36893721,2012
569,Unforgettable,Unforgettable,10.159713,"Julia moves in with her fianc√©, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.","ex husband, woman director",Drama,Missing,en,English,DiNovi Pictures,United States of America,Denise Di Novi,4/20/17,100,Released,Missing,Missing,tt3462710,12000000,17768012,2017
570,The Manhattan Project,The Manhattan Project,4.29831,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.","bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",Science Fiction,Missing,en,English,Gladden Entertainment,United States of America,Marshall Brickman,6/13/86,118,Released,Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,Missing,tt0091472,18000000,3900000,1986
571,28 Days Later,28 Days Later,17.656951,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","london england, taxi, manchester city, submachine gun, gas station, survivor, daughter, laboratory, hospital, zombie, brutality, church, violence, rage, epidemic, military, virus, waking from coma, animal research",Horror,28 Days/Weeks Later Collection,en,"Español, English","DNA Films, British Film Council",United Kingdom,Danny Boyle,10/31/02,113,Released,His fear began when he woke up alone. His terror began when he realised he wasn't.,Missing,tt0289043,5000000,82719885,2002
572,House of 1000 Corpses,House of 1000 Corpses,11.00913,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.,"upper class, halloween, psychopath, urban legend, youth, satanic ritual",Horror,House of 1000 Corpses Collection,en,English,"Lionsgate, Spectacle Entertainment Group",United States of America,Rob Zombie,4/11/03,89,Released,You'll never get out alive.,http://robzombie.com/movies/house-of-1000-corpses/,tt0251736,7000000,16829545,2003
573,Edge of Darkness,Edge of Darkness,9.554067,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.","murder, violence, death of daughter, homicide detective",Crime,Missing,en,English,"Icon Productions, BBC Films, GK Films, Warner Bros.","United Kingdom, United States of America",Martin Campbell,1/29/10,117,Released,Some secrets take us to the edge.,Missing,tt1226273,80000000,74901339,2010
574,Kissing Jessica Stein,Kissing Jessica Stein,3.374229,"Jessica, a Jewish copy editor living and working in New York City, is plagued by failed blind dates with men, and decides to answer a newspaper's personal advertisement. The advertisement has been placed by 'lesbian-curious' Helen Cooper, a thirtysomething art gallerist.","jew, based on play or musical, independent film, gay relationship, lesbian, bisexual, bisexual woman",Comedy,Missing,en,English,"Fox Searchlight Pictures, Eden Wurmfeld Films, Cineric, Michael Alden Productions, Brad Zions Films",United States of America,Charles Herman-Wurmfeld,4/21/01,97,Released,"When it comes to love, sometimes she just can't think straight.",Missing,tt0264761,1000000,10013424,2001
575,Bridget Jones's Baby,Bridget Jones's Baby,10.754139,"Breaking up with Mark Darcy leaves Bridget Jones over 40 and single again. Feeling that she has everything under control, Jones decides to focus on her career as a top news producer. Suddenly, her love life comes back from the dead when she meets a dashing and handsome American named Jack. Things couldn't be better, until Bridget discovers that she is pregnant. Now, the befuddled mom-to-be must figure out if the proud papa is Mark or Jack.","love triangle, baby, sequel, pregnancy, unknown father, pregnant woman, childbirth, sitting on a toilet, woman director, ultrasound",Comedy,Bridget Jones Collection,en,English,"Universal Pictures, StudioCanal, Working Title Films, Perfect World Pictures, Miramax","France, Ireland, United Kingdom, United States of America",Sharon Maguire,9/14/16,123,Released,Old flame. New fling. Big problem.,Missing,tt1473832,35000000,211952420,2016
576,Hamlet,Hamlet,12.50303,"Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.","loss of father, prince, uncle, revenge, murder, spirit",Drama,Missing,en,English,"Icon Productions, Nelson Entertainment, Icon Entertainment International, Canal+, Warner Bros., Sovereign Pictures, Carolco Pictures, Marquis","France, United Kingdom, United States of America",Franco Zeffirelli,12/19/90,130,Released,The extraordinary adaptation of Shakespeare's classic tale of vengeance and tragedy.,Missing,tt0099726,0,20710451,1990
